Latitude;Longitude;Name;UTC Date;UTC Time;Speed;Course;Sats;HDOP;CellID;LAC;Name2;TA;PL;M;IntPwr;ACC;Temp;Charging;RSSI;Mode;CAP
"53,033197N";"4,096170E";"1956";"01-01-2026";"13:03:22";"178";"29";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,031607N";"4,094701E";"1956";"01-01-2026";"13:03:24";"181";"28";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,030146N";"4,093291E";"1956";"01-01-2026";"13:03:26";"184";"28";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,028823N";"4,091988E";"1956";"01-01-2026";"13:03:28";"187";"27";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,027640N";"4,090833E";"1956";"01-01-2026";"13:03:30";"190";"27";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,026595N";"4,089859E";"1956";"01-01-2026";"13:03:32";"192";"26";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,025679N";"4,089093E";"1956";"01-01-2026";"13:03:34";"195";"25";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,024879N";"4,088548E";"1956";"01-01-2026";"13:03:36";"197";"24";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,024179N";"4,088231E";"1956";"01-01-2026";"13:03:38";"199";"23";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,023560N";"4,088136E";"1956";"01-01-2026";"13:03:30";"200";"23";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,023000N";"4,088246E";"1956";"01-01-2026";"13:03:42";"201";"22";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,022479N";"4,088538E";"1956";"01-01-2026";"13:03:44";"201";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,021974N";"4,088977E";"1956";"01-01-2026";"13:03:46";"200";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,021467N";"4,089524E";"1956";"01-01-2026";"13:03:48";"199";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,020941N";"4,090133E";"1956";"01-01-2026";"13:03:50";"197";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,020381N";"4,090758E";"1956";"01-01-2026";"13:03:52";"194";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,019779N";"4,091350E";"1956";"01-01-2026";"13:03:54";"191";"22";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,019129N";"4,091860E";"1956";"01-01-2026";"13:03:56";"188";"23";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,018429N";"4,092246E";"1956";"01-01-2026";"13:03:58";"185";"24";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,017682N";"4,092468E";"1956";"01-01-2026";"13:04:00";"183";"25";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,016894N";"4,092494E";"1956";"01-01-2026";"13:04:02";"181";"27";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,016075N";"4,092300E";"1956";"01-01-2026";"13:04:04";"179";"29";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,015237N";"4,091870E";"1956";"01-01-2026";"13:04:06";"178";"31";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,014392N";"4,091196E";"1956";"01-01-2026";"13:04:08";"177";"33";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,013553N";"4,090283E";"1956";"01-01-2026";"13:04:10";"177";"35";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,012735N";"4,089142E";"1956";"01-01-2026";"13:04:12";"176";"36";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,011946N";"4,087792E";"1956";"01-01-2026";"13:04:14";"177";"38";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,011196N";"4,086259E";"1956";"01-01-2026";"13:04:16";"177";"39";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,010489N";"4,084575E";"1956";"01-01-2026";"13:04:18";"178";"40";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,009828N";"4,082777E";"1956";"01-01-2026";"13:04:20";"178";"40";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,009207N";"4,080901E";"1956";"01-01-2026";"13:04:22";"179";"40";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,008621N";"4,078985E";"1956";"01-01-2026";"13:04:24";"181";"39";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,008056N";"4,077066E";"1956";"01-01-2026";"13:04:26";"182";"38";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,007498N";"4,075177E";"1956";"01-01-2026";"13:04:28";"184";"37";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,006928N";"4,073346E";"1956";"01-01-2026";"13:04:30";"186";"35";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,006325N";"4,071596E";"1956";"01-01-2026";"13:04:32";"188";"33";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,005665N";"4,069942E";"1956";"01-01-2026";"13:04:34";"191";"30";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,004928N";"4,068392E";"1956";"01-01-2026";"13:04:36";"195";"27";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,004091N";"4,066949E";"1956";"01-01-2026";"13:04:38";"200";"24";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,003136N";"4,065607E";"1956";"01-01-2026";"13:04:40";"207";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,002047N";"4,064353E";"1956";"01-01-2026";"13:04:42";"216";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,000812N";"4,063170E";"1956";"01-01-2026";"13:04:44";"228";"15";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,999427N";"4,062036E";"1956";"01-01-2026";"13:04:46";"245";"13";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,997891N";"4,060927E";"1956";"01-01-2026";"13:04:48";"265";"12";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,996212N";"4,059816E";"1956";"01-01-2026";"13:04:50";"284";"13";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,994402N";"4,058678E";"1956";"01-01-2026";"13:04:52";"300";"14";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,992483N";"4,057489E";"1956";"01-01-2026";"13:04:54";"310";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,990480N";"4,056227E";"1956";"01-01-2026";"13:04:56";"318";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,988423N";"4,054878E";"1956";"01-01-2026";"13:04:58";"324";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,986349N";"4,053429E";"1956";"01-01-2026";"13:05:00";"328";"23";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,984295N";"4,051875E";"1956";"01-01-2026";"13:05:02";"331";"25";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,982302N";"4,050217E";"1956";"01-01-2026";"13:05:04";"333";"26";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,980409N";"4,048464E";"1956";"01-01-2026";"13:05:06";"334";"27";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,978654N";"4,046628E";"1956";"01-01-2026";"13:05:08";"335";"27";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,977073N";"4,044727E";"1956";"01-01-2026";"13:05:10";"335";"27";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,975697N";"4,042786E";"1956";"01-01-2026";"13:05:12";"335";"27";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,974552N";"4,040829E";"1956";"01-01-2026";"13:05:14";"334";"26";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,973657N";"4,038883E";"1956";"01-01-2026";"13:05:16";"333";"25";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,973023N";"4,036976E";"1956";"01-01-2026";"13:05:18";"331";"24";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,972654N";"4,035134E";"1956";"01-01-2026";"13:05:20";"328";"23";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,972546N";"4,033381E";"1956";"01-01-2026";"13:05:22";"324";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,972687N";"4,031734E";"1956";"01-01-2026";"13:05:24";"320";"20";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,973059N";"4,030208E";"1956";"01-01-2026";"13:05:26";"315";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,973636N";"4,028810E";"1956";"01-01-2026";"13:05:28";"309";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,974387N";"4,027541E";"1956";"01-01-2026";"13:05:30";"304";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,975278N";"4,026397E";"1956";"01-01-2026";"13:05:32";"298";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,976271N";"4,025364E";"1956";"01-01-2026";"13:05:34";"293";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,977329N";"4,024424E";"1956";"01-01-2026";"13:05:36";"289";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,978414N";"4,023556E";"1956";"01-01-2026";"13:05:38";"286";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,979490N";"4,022731E";"1956";"01-01-2026";"13:05:40";"283";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,980526N";"4,021921E";"1956";"01-01-2026";"13:05:42";"282";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,981494N";"4,021095E";"1956";"01-01-2026";"13:05:44";"282";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,982374N";"4,020226E";"1956";"01-01-2026";"13:05:46";"283";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,983149N";"4,019285E";"1956";"01-01-2026";"13:05:48";"284";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,983813N";"4,018250E";"1956";"01-01-2026";"13:05:50";"287";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,984364N";"4,017105E";"1956";"01-01-2026";"13:05:52";"290";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,984808N";"4,015838E";"1956";"01-01-2026";"13:05:54";"293";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,985157N";"4,014448E";"1956";"01-01-2026";"13:05:56";"297";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,985428N";"4,012939E";"1956";"01-01-2026";"13:05:58";"302";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,985645N";"4,011325E";"1956";"01-01-2026";"13:06:00";"306";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,985832N";"4,009627E";"1956";"01-01-2026";"13:06:02";"311";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,986016N";"4,007873E";"1956";"01-01-2026";"13:06:04";"317";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,986226N";"4,006099E";"1956";"01-01-2026";"13:06:06";"322";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,986489N";"4,004343E";"1956";"01-01-2026";"13:06:08";"327";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,986828N";"4,002648E";"1956";"01-01-2026";"13:06:10";"331";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,987266N";"4,001058E";"1956";"01-01-2026";"13:06:12";"335";"16";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,987820N";"3,999616E";"1956";"01-01-2026";"13:06:14";"339";"16";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,988501N";"3,998363E";"1956";"01-01-2026";"13:06:16";"343";"16";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,989315N";"3,997336E";"1956";"01-01-2026";"13:06:18";"345";"16";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,990263N";"3,996563E";"1956";"01-01-2026";"13:06:20";"348";"16";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,991339N";"3,996067E";"1956";"01-01-2026";"13:06:22";"349";"15";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,992531N";"3,995861E";"1956";"01-01-2026";"13:06:24";"350";"15";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,993823N";"3,995950E";"1956";"01-01-2026";"13:06:26";"350";"15";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,995196N";"3,996325E";"1956";"01-01-2026";"13:06:28";"350";"15";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,996625N";"3,996972E";"1956";"01-01-2026";"13:06:30";"349";"15";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,998086N";"3,997863E";"1956";"01-01-2026";"13:06:32";"347";"15";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"52,999553N";"3,998965E";"1956";"01-01-2026";"13:06:34";"346";"15";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,001002N";"4,000236E";"1956";"01-01-2026";"13:06:36";"344";"16";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,002408N";"4,001627E";"1956";"01-01-2026";"13:06:38";"342";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,003751N";"4,003089E";"1956";"01-01-2026";"13:06:40";"340";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,005015N";"4,004569E";"1956";"01-01-2026";"13:06:42";"339";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,006188N";"4,006014E";"1956";"01-01-2026";"13:06:44";"338";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,007262N";"4,007376E";"1956";"01-01-2026";"13:06:46";"338";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,008237N";"4,008610E";"1956";"01-01-2026";"13:06:48";"338";"22";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,009116N";"4,009678E";"1956";"01-01-2026";"13:06:50";"338";"23";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,009907N";"4,010551E";"1956";"01-01-2026";"13:06:52";"339";"24";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,010623N";"4,011208E";"1956";"01-01-2026";"13:06:54";"340";"25";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,011280N";"4,011639E";"1956";"01-01-2026";"13:06:56";"341";"26";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,011898N";"4,011844E";"1956";"01-01-2026";"13:06:58";"343";"27";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
